time          Z             SDR           rho           mu            cp            T             Radiation     H2            O2            H2O           H             O             OH            HO2           H2O2          N2            sumfracs      
1.000000e+03  0.000000e+00  0.000000e+00  1.156631e+00  1.863412e-05  1.010080e+03  3.000000e+02  0.000000e+00  0.000000e+00  2.329175e-01  0.000000e+00  3.929520e-29  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  7.670825e-01  1.000000e+00  
1.000000e+03  1.425405e-03  1.020059e-02  7.360706e-01  2.552496e-05  1.044554e+03  4.672891e+02  0.000000e+00  5.895446e-06  2.213086e-01  1.267708e-02  1.704996e-10  2.596217e-08  4.793353e-06  4.278012e-06  1.021286e-05  7.659891e-01  1.000000e+00  
1.000000e+03  4.276215e-03  7.436887e-02  4.400973e-01  3.549998e-05  1.138437e+03  7.680906e+02  0.000000e+00  1.782139e-05  1.980473e-01  3.801124e-02  1.898824e-07  2.477251e-05  5.612580e-05  2.616472e-05  1.414431e-05  7.638023e-01  1.000000e+00  
1.000000e+03  1.012038e-02  3.410434e-01  2.486696e-01  5.040339e-05  1.322303e+03  1.311960e+03  0.000000e+00  4.862169e-05  1.498504e-01  8.949922e-02  9.527758e-06  4.562848e-04  7.818294e-04  2.188798e-05  1.294773e-05  7.593193e-01  1.000000e+00  
1.000000e+03  1.639216e-02  7.852582e-01  1.854629e-01  5.948699e-05  1.466943e+03  1.686228e+03  0.000000e+00  3.448845e-04  9.829357e-02  1.401149e-01  1.077228e-04  2.210610e-03  4.393450e-03  1.584763e-05  1.070614e-05  7.545083e-01  1.000000e+00  
1.000000e+03  1.981313e-02  1.084858e+00  1.661058e-01  6.297099e-05  1.538511e+03  1.836012e+03  0.000000e+00  7.403185e-04  7.232469e-02  1.647907e-01  2.228254e-04  3.099011e-03  6.918123e-03  1.204938e-05  8.129752e-06  7.518842e-01  1.000000e+00  
1.000000e+03  2.266394e-02  1.361880e+00  1.547076e-01  6.505022e-05  1.594289e+03  1.927416e+03  0.000000e+00  1.291623e-03  5.319714e-02  1.830490e-01  3.696915e-04  3.608202e-03  8.770813e-03  9.380916e-06  6.754782e-06  7.496974e-01  1.000000e+00  
1.000000e+03  2.494459e-02  1.600130e+00  1.477093e-01  6.622866e-05  1.636759e+03  1.980771e+03  0.000000e+00  1.920378e-03  4.011825e-02  1.959346e-01  5.188545e-04  3.746285e-03  9.800369e-03  7.457705e-06  5.848465e-06  7.479479e-01  1.000000e+00  
1.000000e+03  2.665507e-02  1.787994e+00  1.434064e-01  6.685723e-05  1.667476e+03  2.010294e+03  0.000000e+00  2.529784e-03  3.188454e-02  2.044584e-01  6.434817e-04  3.652005e-03  1.018460e-02  6.170600e-06  5.176850e-06  7.466358e-01  1.000000e+00  
1.000000e+03  2.779540e-02  1.917436e+00  1.409112e-01  6.716480e-05  1.687444e+03  2.025385e+03  0.000000e+00  3.023754e-03  2.732254e-02  2.094873e-01  7.267158e-04  3.476051e-03  1.019235e-02  5.424627e-06  4.687344e-06  7.457611e-01  1.000000e+00  
