time          Z             SDR           rho           mu            cp            T             Radiation     H2            O2            H2O           H             O             OH            HO2           H2O2          N2            sumfracs      
1.000000e+03  2.836556e-02  1.983383e+00  1.397644e-01  6.728504e-05  1.697271e+03  2.031617e+03  0.000000e+00  3.308781e-03  2.539089e-02  2.117441e-01  7.645923e-04  3.354287e-03  1.010409e-02  5.093435e-06  4.438362e-06  7.453238e-01  1.000000e+00  
1.000000e+03  3.336556e-02  2.595069e+00  1.305031e-01  6.822730e-05  1.783306e+03  2.082318e+03  0.000000e+00  5.963542e-03  9.611216e-03  2.305318e-01  1.067817e-03  2.241353e-03  9.091279e-03  2.105117e-06  2.556471e-06  7.414883e-01  1.000000e+00  
1.000000e+03  5.279540e-02  5.453524e+00  1.159175e-01  6.439523e-05  2.069588e+03  1.967268e+03  0.000000e+00  2.409158e-02  3.451873e-04  2.458060e-01  1.083153e-03  1.266319e-04  1.963042e-03  9.172422e-08  2.122147e-07  7.265841e-01  1.000000e+00  
1.000000e+03  9.165507e-02  1.273919e+01  1.051571e-01  5.391373e-05  2.575004e+03  1.619241e+03  0.000000e+00  6.443329e-02  2.320194e-05  2.380193e-01  5.788405e-04  2.464444e-06  1.674278e-04  8.471331e-09  1.995048e-08  6.967755e-01  1.000000e+00  
1.000000e+03  1.499446e-01  2.554847e+01  9.768791e-02  4.224135e-05  3.281348e+03  1.259091e+03  0.000000e+00  1.247546e-01  7.080472e-06  2.229208e-01  2.458367e-04  3.887124e-08  8.970237e-06  4.283299e-09  4.737999e-09  6.520626e-01  1.000000e+00  
1.000000e+03  2.276639e-01  4.285873e+01  9.304450e-02  3.210267e-05  4.212314e+03  9.637210e+02  0.000000e+00  2.049178e-01  4.765578e-06  2.025498e-01  8.194472e-05  6.865347e-10  2.554206e-07  5.379265e-09  2.930762e-09  5.924455e-01  1.000000e+00  
1.000000e+03  3.248131e-01  6.087928e+01  9.022489e-02  2.432274e-05  5.400710e+03  7.420878e+02  0.000000e+00  3.049799e-01  3.804399e-06  1.770724e-01  1.979768e-05  2.836185e-11  3.517935e-09  8.612930e-09  2.416009e-09  5.179240e-01  1.000000e+00  
1.000000e+03  4.413922e-01  7.322419e+01  8.819837e-02  1.868620e-05  6.920749e+03  5.821018e+02  0.000000e+00  4.249965e-01  3.075879e-06  1.464989e-01  3.240955e-06  1.509668e-12  7.281001e-11  1.376887e-08  1.989019e-09  4.284983e-01  1.000000e+00  
1.000000e+03  5.774010e-01  7.203430e+01  8.631115e-02  1.469326e-05  8.771870e+03  4.675929e+02  0.000000e+00  5.649995e-01  2.316602e-06  1.108296e-01  3.472241e-07  1.626356e-13  8.873755e-12  1.494916e-08  1.505022e-09  3.241683e-01  1.000000e+00  
1.000000e+03  7.328397e-01  5.086100e+01  8.438771e-02  1.183500e-05  1.086633e+04  3.843015e+02  0.000000e+00  7.249999e-01  1.463563e-06  7.006468e-02  2.297597e-08  4.226914e-14  6.049700e-13  1.017392e-08  9.518490e-10  2.049340e-01  1.000000e+00  
1.000000e+03  9.077083e-01  1.287047e+01  8.247372e-02  9.755455e-06  1.313969e+04  3.220478e+02  0.000000e+00  9.050000e-01  5.055597e-07  2.420416e-02  6.467122e-10  4.431527e-15  9.517798e-15  3.546400e-09  3.289327e-10  7.079537e-02  1.000000e+00  
1.000000e+03  1.000000e+00  0.000000e+00  8.081491e-02  8.999183e-06  1.431234e+04  3.000000e+02  0.000000e+00  1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.000000e+00  
